Model,Sampling Technique,Accuracy
M1,Sampling1,0.9284386617100372
M2,Sampling1,1.0
M3,Sampling1,1.0
M4,Sampling1,0.6886617100371747
M5,Sampling1,0.8689591078066915
M1,Sampling2,0.9273584905660377
M2,Sampling2,1.0
M3,Sampling2,1.0
M4,Sampling2,0.6877358490566038
M5,Sampling2,0.8669811320754717
M1,Sampling3,0.929368029739777
M2,Sampling3,1.0
M3,Sampling3,1.0
M4,Sampling3,0.6877323420074349
M5,Sampling3,0.8680297397769516
M1,Sampling4,0.9747793190416141
M2,Sampling4,1.0
M3,Sampling4,1.0
M4,Sampling4,0.7452711223203027
M5,Sampling4,0.8411097099621689
M1,Sampling5,0.9336538461538462
M2,Sampling5,1.0
M3,Sampling5,1.0
M4,Sampling5,0.6894230769230769
M5,Sampling5,0.8682692307692308
M1,Sampling1,0.9302973977695167
M2,Sampling1,1.0
M3,Sampling1,1.0
M4,Sampling1,0.6663568773234201
M5,Sampling1,0.8447955390334573
M1,Sampling2,0.930188679245283
M2,Sampling2,1.0
M3,Sampling2,1.0
M4,Sampling2,0.6707547169811321
M5,Sampling2,0.8424528301886792
M1,Sampling3,0.929368029739777
M2,Sampling3,1.0
M3,Sampling3,1.0
M4,Sampling3,0.6682156133828996
M5,Sampling3,0.8420074349442379
M1,Sampling4,0.9695817490494296
M2,Sampling4,1.0
M3,Sampling4,1.0
M4,Sampling4,0.7731305449936628
M5,Sampling4,0.8719898605830165
M1,Sampling5,0.928709055876686
M2,Sampling5,1.0
M3,Sampling5,1.0
M4,Sampling5,0.6772639691714836
M5,Sampling5,0.8497109826589595
M1,Sampling1,0.930841121495327
M2,Sampling1,1.0
M3,Sampling1,1.0
M4,Sampling1,0.6822429906542056
M5,Sampling1,0.8635514018691589
M1,Sampling2,0.9305816135084428
M2,Sampling2,1.0
M3,Sampling2,1.0
M4,Sampling2,0.6829268292682927
M5,Sampling2,0.8658536585365854
M1,Sampling3,0.9317757009345794
M2,Sampling3,1.0
M3,Sampling3,1.0
M4,Sampling3,0.6822429906542056
M5,Sampling3,0.8644859813084113
M1,Sampling4,0.9742599742599742
M2,Sampling4,1.0
M3,Sampling4,1.0
M4,Sampling4,0.7387387387387387
M5,Sampling4,0.8931788931788932
M1,Sampling5,0.9294003868471954
M2,Sampling5,1.0
M3,Sampling5,1.0
M4,Sampling5,0.6866537717601547
M5,Sampling5,0.8694390715667312
M1,Sampling1,0.9253731343283582
M2,Sampling1,1.0
M3,Sampling1,1.0
M4,Sampling1,0.6557835820895522
M5,Sampling1,0.8768656716417911
M1,Sampling2,0.9238721804511278
M2,Sampling2,1.0
M3,Sampling2,1.0
M4,Sampling2,0.6560150375939849
M5,Sampling2,0.8778195488721805
M1,Sampling3,0.9253731343283582
M2,Sampling3,1.0
M3,Sampling3,1.0
M4,Sampling3,0.6613805970149254
M5,Sampling3,0.8768656716417911
M1,Sampling4,0.969309462915601
M2,Sampling4,1.0
M3,Sampling4,1.0
M4,Sampling4,0.7979539641943734
M5,Sampling4,0.8913043478260869
M1,Sampling5,0.9274661508704062
M2,Sampling5,1.0
M3,Sampling5,1.0
M4,Sampling5,0.6692456479690522
M5,Sampling5,0.8781431334622823
M1,Sampling1,0.9263059701492538
M2,Sampling1,1.0
M3,Sampling1,1.0
M4,Sampling1,0.6735074626865671
M5,Sampling1,0.8703358208955224
M1,Sampling2,0.9276315789473685
M2,Sampling2,1.0
M3,Sampling2,1.0
M4,Sampling2,0.6710526315789473
M5,Sampling2,0.868421052631579
M1,Sampling3,0.9281716417910447
M2,Sampling3,1.0
M3,Sampling3,1.0
M4,Sampling3,0.6735074626865671
M5,Sampling3,0.871268656716418
M1,Sampling4,0.9757033248081841
M2,Sampling4,1.0
M3,Sampling4,1.0
M4,Sampling4,0.7813299232736572
M5,Sampling4,0.8925831202046036
M1,Sampling5,0.9319923371647509
M2,Sampling5,1.0
M3,Sampling5,1.0
M4,Sampling5,0.6743295019157088
M5,Sampling5,0.8764367816091954
